タイトル,一問一答(01. 鎌倉幕府の滅亡)
完答,後嵯峨天皇が亡くなったあと、天皇家は何に分かれたか？&lt;br>,持明院統,大覚寺統
記述,持明院統は誰の流れをくむか？&lt;br>,後深草上皇
記述,大覚寺統は誰の流れをくむか？&lt;br>,亀山天皇
記述,幕府はどのような方式をとって両統の争いを調停したか？&lt;br>,両統迭立
記述,大覚寺統から即位した天皇は誰か？&lt;br>,後醍醐天皇
完答,後醍醐天皇は何を目指して新政を開始したか？&lt;br>,両統迭立の解消,皇位継承
記述,得宗専制政治に対して反発を強めていたのは誰か？&lt;br>,御家人
記述,後醍醐天皇は1324年に何の計画を進めたか？&lt;br>,討幕
記述,1331年の挙兵計画の結果、後醍醐天皇はどこに流されたか？&lt;br>,隠岐
記述,1331年の挙兵計画の後、持明院統の誰が即位したか？&lt;br>,光厳天皇
記述,楠木正成はどのような勢力を集結させたか？&lt;br>,悪党
記述,幕府軍の指揮官として畿内に派遣された有力御家人は誰か？&lt;br>, 足利高氏
別解,足利尊氏
記述,足利高氏(尊氏)はどこを攻め落としたか？&lt;br>,六波羅探題
記述,新田義貞はどこで挙兵したか？&lt;br>,関東
記述,新田義貞はどこを攻めて得宗北条高時以下の北条氏一門を滅ぼしたか？&lt;br>,鎌倉
記述,1333年に滅亡したのは何か？&lt;br>,鎌倉幕府
記述,後醍醐天皇は何を脱出したか？&lt;br>,隠岐
記述,両統迭立の解消を目指したのは誰か？&lt;br>,後醍醐天皇
記述,天皇の権限強化を推し進めたのは誰か？&lt;br>,後醍醐天皇
記述,討幕計画が幕府側にもれて失敗したのは何年か？&lt;br>,1324年
別解,1324
記述,後醍醐天皇が挙兵を企てたが失敗したのは何年か？&lt;br>,1331年
別解,1331
記述,後醍醐天皇の隠岐脱出後、討幕に立ち上がる者が増えたのは誰の呼びかけに応じてか？&lt;br>,天皇
記述,1333年に鎌倉幕府を滅亡させた人物は新田義貞と誰か？&lt;br>,足利高氏
別解,足利尊氏
選択,後嵯峨天皇が亡くなった後、天皇家は何統と何統に分かれたか？&lt;br>,持明院統、大覚寺統,光厳統、護良統, 持明院統、光厳統,大覚寺統、楠木統
選択,両統が交代で皇位につく方式を何というか？&lt;br>,両統迭立,両統並立,皇位交代,皇位譲渡
選択, 後醍醐天皇が即位したのはどの統からか？&lt;br>,大覚寺統, 持明院統,光厳統,後深草統
選択,後醍醐天皇は何を目指して新政を開始したか？&lt;br>,両統迭立の解消,皇位交代の促進,持明院統の強化, 鎌倉幕府の復活
選択,1333年に鎌倉を攻めて北条氏一門を滅ぼしたのは誰か？&lt;br>, 新田義貞,足利高氏,長崎高資,光厳天皇
選択, 1324年に後醍醐天皇が進めた討幕計画は成功した。&lt;br>,X,O
